trip_id,vehicle_id,segment_idx,timestamp,distance_km,speed_kmh,temperature_c,inclination_rad,time_increment_s,soc_start_pct,soc_end_pct,soc_drop_pp,cum_soc_drop_pp,is_charging,charge_price_usd_kwh,grid_intensity_kg_kwh,route_type
T0001,V03,0,2023-03-14T08:12:00Z,1.20,42.0,12.5,0.005,102.9,92.40,92.15,0.25,0.25,0,0.00,0.00,urban
T0001,V03,1,2023-03-14T08:13:43Z,0.95,38.5,12.6,0.002,88.8,92.15,91.94,0.21,0.46,0,0.00,0.00,urban
T0001,V03,2,2023-03-14T08:15:12Z,1.40,55.0,12.8,-0.010,91.6,91.94,91.62,0.32,0.78,0,0.00,0.00,urban
T0001,V03,3,2023-03-14T08:16:44Z,1.10,45.0,13.0,0.000,88.0,91.62,91.38,0.24,1.02,0,0.00,0.00,urban
T0001,V03,4,2023-03-14T08:18:12Z,1.30,60.0,13.1,-0.008,78.0,91.38,91.05,0.33,1.35,0,0.00,0.00,urban
T0001,V03,5,2023-03-14T08:19:30Z,1.50,70.0,13.2,-0.012,77.1,91.05,90.70,0.35,1.70,0,0.00,0.00,suburban
T0001,V03,6,2023-03-14T08:20:47Z,1.80,80.0,13.4,-0.005,81.0,90.70,90.32,0.38,2.08,0,0.00,0.00,suburban
T0001,V03,7,2023-03-14T08:22:08Z,2.10,90.0,13.5,0.003,84.0,90.32,89.91,0.41,2.49,0,0.00,0.00,suburban
T0001,V03,8,2023-03-14T08:23:32Z,2.40,100.0,13.6,0.008,86.4,89.91,89.46,0.45,2.94,0,0.00,0.00,highway
T0001,V03,9,2023-03-14T08:24:58Z,2.60,110.0,13.7,0.010,85.1,89.46,89.00,0.46,3.40,0,0.00,0.00,highway
T0001,V03,10,2023-03-14T08:26:24Z,2.55,108.0,13.8,0.006,85.0,89.00,88.55,0.45,3.85,0,0.00,0.00,highway
T0001,V03,11,2023-03-14T08:27:50Z,2.50,105.0,13.9,0.002,85.7,88.55,88.11,0.44,4.29,0,0.00,0.00,highway
T0001,V03,12,2023-03-14T08:29:16Z,2.60,110.0,14.0,-0.003,85.1,88.11,87.65,0.46,4.75,0,0.00,0.00,highway
T0001,V03,13,2023-03-14T08:30:42Z,2.45,104.0,14.1,-0.008,84.8,87.65,87.20,0.45,5.20,0,0.00,0.00,highway
T0001,V03,14,2023-03-14T08:32:08Z,2.30,98.0,14.2,-0.012,84.5,87.20,86.78,0.42,5.62,0,0.00,0.00,highway
T0001,V03,15,2023-03-14T08:33:33Z,2.15,92.0,14.3,-0.015,84.1,86.78,86.39,0.39,6.01,0,0.00,0.00,highway
T0001,V03,16,2023-03-14T08:34:57Z,2.00,86.0,14.4,-0.010,83.7,86.39,86.03,0.36,6.37,0,0.00,0.00,highway
T0001,V03,17,2023-03-14T08:36:20Z,1.85,80.0,14.5,-0.005,83.2,86.03,85.70,0.33,6.70,0,0.00,0.00,suburban
T0001,V03,18,2023-03-14T08:37:42Z,1.70,74.0,14.6,0.000,82.7,85.70,85.40,0.30,7.00,0,0.00,0.00,suburban
T0001,V03,19,2023-03-14T08:39:03Z,1.55,68.0,14.7,0.005,82.1,85.40,85.14,0.26,7.26,0,0.00,0.00,suburban
T0001,V03,20,2023-03-14T08:40:23Z,1.40,62.0,14.8,0.010,81.3,85.14,84.91,0.23,7.49,0,0.00,0.00,suburban
T0001,V03,21,2023-03-14T08:41:42Z,1.25,56.0,14.9,0.008,80.4,84.91,84.72,0.19,7.68,0,0.00,0.00,urban
T0001,V03,22,2023-03-14T08:43:00Z,1.10,50.0,15.0,0.004,79.2,84.72,84.56,0.16,7.84,0,0.00,0.00,urban
T0001,V03,23,2023-03-14T08:44:17Z,0.95,44.0,15.1,0.000,77.7,84.56,84.44,0.12,7.96,0,0.00,0.00,urban
T0001,V03,24,2023-03-14T08:45:33Z,0.80,38.0,15.2,-0.005,75.8,84.44,84.35,0.09,8.05,1,0.35,0.19,urban
T0002,V07,0,2023-06-22T14:30:00Z,1.50,50.0,28.4,0.008,108.0,78.20,77.86,0.34,0.34,0,0.00,0.00,urban
T0002,V07,1,2023-06-22T14:31:48Z,1.30,48.0,28.6,0.005,97.5,77.86,77.56,0.30,0.64,0,0.00,0.00,urban
T0002,V07,2,2023-06-22T14:33:26Z,1.45,52.0,28.8,0.002,100.4,77.56,77.23,0.33,0.97,0,0.00,0.00,urban
T0002,V07,3,2023-06-22T14:35:06Z,1.60,58.0,29.0,-0.005,99.3,77.23,76.87,0.36,1.33,0,0.00,0.00,suburban
T0002,V07,4,2023-06-22T14:36:46Z,1.75,65.0,29.2,-0.010,96.9,76.87,76.48,0.39,1.72,0,0.00,0.00,suburban
T0002,V07,5,2023-06-22T14:38:24Z,1.90,72.0,29.4,-0.008,95.0,76.48,76.05,0.43,2.15,0,0.00,0.00,suburban
T0002,V07,6,2023-06-22T14:40:03Z,2.05,80.0,29.6,-0.003,92.3,76.05,75.58,0.47,2.62,0,0.00,0.00,highway
T0002,V07,7,2023-06-22T14:41:43Z,2.20,88.0,29.8,0.000,90.0,75.58,75.07,0.51,3.13,0,0.00,0.00,highway
T0002,V07,8,2023-06-22T14:43:24Z,2.35,96.0,30.0,0.005,88.1,75.07,74.53,0.54,3.67,0,0.00,0.00,highway
T0002,V07,9,2023-06-22T14:45:06Z,2.50,105.0,30.2,0.010,85.7,74.53,73.96,0.57,4.24,0,0.00,0.00,highway
T0002,V07,10,2023-06-22T14:46:48Z,2.60,110.0,30.4,0.015,85.1,73.96,73.37,0.59,4.83,0,0.00,0.00,highway
T0002,V07,11,2023-06-22T14:48:30Z,2.55,108.0,30.6,0.012,85.0,73.37,72.79,0.58,5.41,0,0.00,0.00,highway
T0002,V07,12,2023-06-22T14:50:12Z,2.50,105.0,30.8,0.008,85.7,72.79,72.22,0.57,5.98,0,0.00,0.00,highway
T0002,V07,13,2023-06-22T14:51:54Z,2.45,102.0,31.0,0.005,86.5,72.22,71.66,0.56,6.54,0,0.00,0.00,highway
T0002,V07,14,2023-06-22T14:53:36Z,2.40,100.0,31.2,0.002,86.4,71.66,71.11,0.55,7.09,0,0.00,0.00,highway
T0002,V07,15,2023-06-22T14:55:18Z,2.35,98.0,31.4,-0.002,86.3,71.11,70.57,0.54,7.63,0,0.00,0.00,highway
T0002,V07,16,2023-06-22T14:56:59Z,2.30,96.0,31.6,-0.005,86.3,70.57,70.04,0.53,8.16,0,0.00,0.00,highway
T0002,V07,17,2023-06-22T14:58:40Z,2.25,94.0,31.8,-0.008,86.2,70.04,69.53,0.51,8.67,0,0.00,0.00,highway
T0002,V07,18,2023-06-22T15:00:21Z,2.20,92.0,32.0,-0.010,86.1,69.53,69.03,0.50,9.17,0,0.00,0.00,highway
T0002,V07,19,2023-06-22T15:02:02Z,2.15,90.0,32.2,-0.012,86.0,69.03,68.54,0.49,9.66,0,0.00,0.00,highway
T0002,V07,20,2023-06-22T15:03:43Z,2.10,88.0,32.4,-0.010,85.9,68.54,68.07,0.47,10.13,0,0.00,0.00,highway
T0002,V07,21,2023-06-22T15:05:24Z,2.05,86.0,32.6,-0.008,85.8,68.07,67.61,0.46,10.59,0,0.00,0.00,highway
T0002,V07,22,2023-06-22T15:07:05Z,2.00,84.0,32.8,-0.005,85.7,67.61,67.16,0.45,11.04,0,0.00,0.00,highway
T0002,V07,23,2023-06-22T15:08:46Z,1.95,82.0,33.0,-0.002,85.6,67.16,66.73,0.43,11.47,0,0.00,0.00,highway
T0002,V07,24,2023-06-22T15:10:27Z,1.90,80.0,33.2,0.000,85.5,66.73,66.31,0.42,11.89,1,0.42,0.21,highway
T0003,V11,0,2024-11-05T07:45:00Z,0.80,30.0,4.2,0.015,96.0,95.80,95.35,0.45,0.45,0,0.00,0.00,urban
T0003,V11,1,2024-11-05T07:46:36Z,0.75,28.0,4.1,0.020,96.4,95.35,94.92,0.43,0.88,0,0.00,0.00,urban
T0003,V11,2,2024-11-05T07:48:12Z,0.70,26.0,4.0,0.025,96.9,94.92,94.51,0.41,1.29,0,0.00,0.00,urban
T0003,V11,3,2024-11-05T07:49:49Z,0.65,24.0,3.9,0.030,97.5,94.51,94.13,0.38,1.67,0,0.00,0.00,urban
T0003,V11,4,2024-11-05T07:51:26Z,0.60,22.0,3.8,0.035,98.2,94.13,93.79,0.34,2.01,0,0.00,0.00,urban
T0003,V11,5,2024-11-05T07:53:04Z,0.55,20.0,3.7,0.040,99.0,93.79,93.49,0.30,2.31,0,0.00,0.00,urban
T0003,V11,6,2024-11-05T07:54:43Z,0.50,18.0,3.6,0.045,100.0,93.49,93.24,0.25,2.56,0,0.00,0.00,urban
T0003,V11,7,2024-11-05T07:56:23Z,0.45,16.0,3.5,0.050,101.3,93.24,93.04,0.20,2.76,0,0.00,0.00,urban
